codelist,code,extensible,source,order,term,decode
IETESTCD,,,pilot define.xml,30,EXCL30,Central laboratory test value above reference range for glycosylated hemoglobin (A1C) (insulin dependent diabetes mellitus patients only).
IETESTCD,,,pilot define.xml,31,EXCL31,Treatment with medications within 1 month prior to enrollment (see list).
LBCAT,,,pilot define.xml,1,CHEMISTRY,CHEMISTRY
LBCAT,,,pilot define.xml,2,HEMATOLOGY,HEMATOLOGY
LBCAT,,,pilot define.xml,3,OTHER,OTHER
LBCAT,,,pilot define.xml,4,URINALYSIS,URINALYSIS
LBNRIND,,,pilot define.xml,1,LOW,LOW
LBNRIND,,,pilot define.xml,2,NORMAL,NORMAL
LBNRIND,,,pilot define.xml,3,HIGH,HIGH
LBNRIND,,,pilot define.xml,4,ABNORMAL,ABNORMAL
LBUNIT,,,pilot define.xml,1,1,1
LBUNIT,,,pilot define.xml,2,GI/L,GI/L
LBUNIT,,,pilot define.xml,3,TI/L,TI/L
LBUNIT,,,pilot define.xml,4,U/L,U/L
LBUNIT,,,pilot define.xml,5,fL,fL
LBUNIT,,,pilot define.xml,6,fmol(Fe),fmol(Fe)
LBUNIT,,,pilot define.xml,7,g/L,g/L
LBUNIT,,,pilot define.xml,8,mU/L,mU/L
LBUNIT,,,pilot define.xml,9,mmol/L,mmol/L
LBUNIT,,,pilot define.xml,10,pmol/L,pmol/L
LBUNIT,,,pilot define.xml,11,umol/L,umol/L
MHCAT,,,pilot define.xml,1,HISTORICAL DIAGNOSIS,HISTORICAL DIAGNOSIS
MHCAT,,,pilot define.xml,2,PRIMARY DIAGNOSIS,PRIMARY DIAGNOSIS
MHCAT,,,pilot define.xml,3,SIGNIFICANT PRE-EXISTING CONDITION,SIGNIFICANT PRE-EXISTING CONDITION
ND,,,pilot define.xml,1,NOT DONE,NOT DONE
NYNAN,,,pilot define.xml,1,0,NO
NYNAN,,,pilot define.xml,2,1,YES
NYNAN,,,pilot define.xml,3,96,NOT APPLICABLE
OUT,,,pilot define.xml,1,RECOVERED/RESOLVED,RECOVERED/RESOLVED
OUT,,,pilot define.xml,2,NOT RECOVERED/NOT RESOLVED,NOT RECOVERED/NOT RESOLVED
OUT,,,pilot define.xml,3,FATAL,FATAL
PRESABSA,,,pilot define.xml,1,0,ABSENT
PRESABSA,,,pilot define.xml,2,1,PRESENT
PRESABSB,,,pilot define.xml,1,0,ABSENT
PRESABSB,,,pilot define.xml,2,2,PRESENT
PRESSC,,,pilot define.xml,1,0,ABSENT
PRESSC,,,pilot define.xml,2,96,NOT APPLICABLE
QEVAL,,,pilot define.xml,1,CLINICAL STUDY SPONSOR,CLINICAL STUDY SPONSOR
QSCAT,,,pilot define.xml,1,ALZHEIMER'S DISEASE ASSESSMENT SCALE,ALZHEIMER'S DISEASE ASSESSMENT SCALE
QSCAT,,,pilot define.xml,2,CLINICIAN'S INTERVIEW-BASED IMPRESSION OF CHANGE (CIBIC+),CLINICIAN'S INTERVIEW-BASED IMPRESSION OF CHANGE (CIBIC+)
QSCAT,,,pilot define.xml,3,DISABILITY ASSESSMENT FOR DEMENTIA (DAD),DISABILITY ASSESSMENT FOR DEMENTIA (DAD)
QSCAT,,,pilot define.xml,4,MINI-MENTAL STATE,MINI-MENTAL STATE
QSCAT,,,pilot define.xml,5,MODIFIED HACHINSKI ISCHEMIC SCORE,MODIFIED HACHINSKI ISCHEMIC SCORE
QSCAT,,,pilot define.xml,6,NEUROPSYCHIATRIC INVENTORY - REVISED (NPI-X),NEUROPSYCHIATRIC INVENTORY - REVISED (NPI-X)
QSUNIT,,,pilot define.xml,1,sec,sec
RACE,,,pilot define.xml,1,WHITE,WHITE
RACE,,,pilot define.xml,2,BLACK OR AFRICAN AMERICAN,BLACK OR AFRICAN AMERICAN
RACE,,,pilot define.xml,3,AMERICAN INDIAN OR ALASKA NATIVE,AMERICAN INDIAN OR ALASKA NATIVE
RACE,,,pilot define.xml,4,ASIAN,ASIAN
ROLES,,,pilot define.xml,1,GROUPING QUALIFIER,GROUPING QUALIFIER
ROLES,,,pilot define.xml,2,IDENTIFIER,IDENTIFIER
ROLES,,,pilot define.xml,3,QUALIFIER,QUALIFIER
ROLES,,,pilot define.xml,4,RECORD QUALIFIER,RECORD QUALIFIER
ROLES,,,pilot define.xml,5,RESULT,RESULT
ROLES,,,pilot define.xml,6,RESULT QUALIFIER,RESULT QUALIFIER
ROLES,,,pilot define.xml,7,RULE,RULE
ROLES,,,pilot define.xml,8,SYNONYM QUALIFIER,SYNONYM QUALIFIER
ROLES,,,pilot define.xml,9,TIMING,TIMING
ROLES,,,pilot define.xml,10,TOPIC,TOPIC
ROLES,,,pilot define.xml,11,VARIABLE QUALIFIER,VARIABLE QUALIFIER
SCCAT,,,pilot define.xml,1,EDUCATION,EDUCATION
SCORE3V,,,pilot define.xml,1,1,1
SCORE3V,,,pilot define.xml,2,2,2
SCORE3V,,,pilot define.xml,3,3,3
SCORE5V,,,pilot define.xml,1,1,1
SCORE5V,,,pilot define.xml,2,2,2
SCORE5V,,,pilot define.xml,3,3,3
SCORE5V,,,pilot define.xml,4,4,4
SCORE5V,,,pilot define.xml,5,5,5
SCORE9V,,,pilot define.xml,1,1,1
SCORE9V,,,pilot define.xml,2,2,2
SCORE9V,,,pilot define.xml,3,3,3
SCORE9V,,,pilot define.xml,4,4,4
SCORE9V,,,pilot define.xml,5,5,5
SCORE9V,,,pilot define.xml,6,6,6
SCORE9V,,,pilot define.xml,7,7,7
SCORE9V,,,pilot define.xml,8,8,8
SCORE9V,,,pilot define.xml,9,9,9
SCUNIT,,,pilot define.xml,1,YEARS,YEARS
SEV,,,pilot define.xml,1,MILD,MILD
SEV,,,pilot define.xml,2,MODERATE,MODERATE
SEV,,,pilot define.xml,3,SEVERE,SEVERE
SEVSC,,,pilot define.xml,1,1,1
SEVSC,,,pilot define.xml,2,2,2
SEVSC,,,pilot define.xml,3,3,3
SEX,,,pilot define.xml,1,F,Female
SEX,,,pilot define.xml,2,M,Male
SEX,,,pilot define.xml,3,U,Unknown
SEXPOP,,,pilot define.xml,1,BOTH,Both
SEXPOP,,,pilot define.xml,2,F,Female
SEXPOP,,,pilot define.xml,3,M,Male
TBLIND,,,pilot define.xml,1,DOUBLE BLIND,Double Blind Study
TBLIND,,,pilot define.xml,2,OPEN LABEL,Open Label Study
TBLIND,,,pilot define.xml,3,SINGLE BLIND,Single Blind Study
TCNTRL,,,pilot define.xml,1,ACTIVE,ACTIVE
TCNTRL,,,pilot define.xml,2,NONE,NONE
TCNTRL,,,pilot define.xml,3,PLACEBO,PLACEBO
TINDTP,,,pilot define.xml,1,CURE,Cure Study
TINDTP,,,pilot define.xml,2,DIAGNOSIS,Diagnosis Study
TINDTP,,,pilot define.xml,3,MITIGATION,Adverse Effect Mitigation Study
TINDTP,,,pilot define.xml,4,PREVENTION,Prevention Study
TINDTP,,,pilot define.xml,5,TREATMENT,Treatment Study
TPHASE,,,pilot define.xml,1,Phase I Trial,Phase I Trial
TPHASE,,,pilot define.xml,2,Phase I/II Trial,Phase I/II Trial
TPHASE,,,pilot define.xml,3,Phase II Trial,Phase II Trial
TPHASE,,,pilot define.xml,4,Phase II/III Trial,Phase II/III Trial
TPHASE,,,pilot define.xml,5,Phase IIa Trial,Phase IIa Trial
TPHASE,,,pilot define.xml,6,Phase IIb Trial,Phase IIb Trial
TPHASE,,,pilot define.xml,7,Phase III Trial,Phase III Trial
TPHASE,,,pilot define.xml,8,Phase IIIa Trial,Phase IIIa Trial
TPHASE,,,pilot define.xml,9,Phase IIIb Trial,Phase IIIb Trial
TPHASE,,,pilot define.xml,10,Phase IV Trial,Phase IV Trial
TPHASE,,,pilot define.xml,11,Phase V Trial,Phase V Trial
TPHASE,,,pilot define.xml,12,NA,NA
TTYPE,,,pilot define.xml,1,BIO-AVAILABILITY,Bioavailability Study
TTYPE,,,pilot define.xml,2,BIO-EQUIVALENCE,Therapeutic Equivalency Study
TTYPE,,,pilot define.xml,3,EFFICACY,Efficacy Study
TTYPE,,,pilot define.xml,4,PHARMACODYNAMIC,Pharmacodynamic Study
TTYPE,,,pilot define.xml,5,PHARMACOECONOMIC,Pharmacoeconomic Study
TTYPE,,,pilot define.xml,6,PHARMACOGENOMIC,Pharmacogenomic Study
TTYPE,,,pilot define.xml,7,PHARMACOKINETIC,Pharmacokinetic Study
TTYPE,,,pilot define.xml,8,SAFETY,Safety Study
VISIT,,,pilot define.xml,1,SCREENING 1,SCREENING 1
VISIT,,,pilot define.xml,2,UNSCHEDULED 1.1,UNSCHEDULED 1.1
VISIT,,,pilot define.xml,3,UNSCHEDULED 1.2,UNSCHEDULED 1.2
VISIT,,,pilot define.xml,4,UNSCHEDULED 1.3,UNSCHEDULED 1.3
VISIT,,,pilot define.xml,5,SCREENING 2,SCREENING 2
VISIT,,,pilot define.xml,6,BASELINE,BASELINE
VISIT,,,pilot define.xml,7,UNSCHEDULED 3.1,UNSCHEDULED 3.1
VISIT,,,pilot define.xml,8,AMBUL ECG PLACEMENT,AMBUL ECG PLACEMENT
VISIT,,,pilot define.xml,9,WEEK 2,WEEK 2
VISIT,,,pilot define.xml,10,UNSCHEDULED 4.1,UNSCHEDULED 4.1
VISIT,,,pilot define.xml,11,UNSCHEDULED 4.2,UNSCHEDULED 4.2
VISIT,,,pilot define.xml,12,WEEK 4,WEEK 4
VISIT,,,pilot define.xml,13,UNSCHEDULED 5.1,UNSCHEDULED 5.1
VISIT,,,pilot define.xml,14,AMBUL ECG REMOVAL,AMBUL ECG REMOVAL
VISIT,,,pilot define.xml,15,UNSCHEDULED 6.1,UNSCHEDULED 6.1
VISIT,,,pilot define.xml,16,WEEK 6,WEEK 6
VISIT,,,pilot define.xml,17,UNSCHEDULED 7.1,UNSCHEDULED 7.1
VISIT,,,pilot define.xml,18,WEEK 8,WEEK 8
VISIT,,,pilot define.xml,19,WEEK 10 (T),WEEK 10 (T)
VISIT,,,pilot define.xml,20,UNSCHEDULED 8.2,UNSCHEDULED 8.2
VISIT,,,pilot define.xml,21,WEEK 12,WEEK 12
VISIT,,,pilot define.xml,22,WEEK 14 (T),WEEK 14 (T)
VISIT,,,pilot define.xml,23,UNSCHEDULED 9.2,UNSCHEDULED 9.2
VISIT,,,pilot define.xml,24,UNSCHEDULED 9.3,UNSCHEDULED 9.3
VISIT,,,pilot define.xml,25,WEEK 16,WEEK 16
VISIT,,,pilot define.xml,26,WEEK 18 (T),WEEK 18 (T)
VISIT,,,pilot define.xml,27,UNSCHEDULED 10.2,UNSCHEDULED 10.2
VISIT,,,pilot define.xml,28,WEEK 20,WEEK 20
VISIT,,,pilot define.xml,29,WEEK 22 (T),WEEK 22 (T)
VISIT,,,pilot define.xml,30,UNSCHEDULED 11.2,UNSCHEDULED 11.2
VISIT,,,pilot define.xml,31,WEEK 24,WEEK 24
VISIT,,,pilot define.xml,32,UNSCHEDULED 12.1,UNSCHEDULED 12.1
VISIT,,,pilot define.xml,33,WEEK 26,WEEK 26
VISIT,,,pilot define.xml,34,UNSCHEDULED 13.1,UNSCHEDULED 13.1
VISIT,,,pilot define.xml,35,AE FOLLOW-UP,AE FOLLOW-UP
VISIT,,,pilot define.xml,36,RETRIEVAL,RETRIEVAL
VISIT,,,pilot define.xml,37,Rash followup,Rash followup
VISITNUM,,,pilot define.xml,1,1,SCREENING 1
VISITNUM,,,pilot define.xml,2,1.1,UNSCHEDULED 1.1
VISITNUM,,,pilot define.xml,3,1.2,UNSCHEDULED 1.2
VISITNUM,,,pilot define.xml,4,1.3,UNSCHEDULED 1.3
VISITNUM,,,pilot define.xml,5,2,SCREENING 2
VISITNUM,,,pilot define.xml,6,3,BASELINE
VISITNUM,,,pilot define.xml,7,3.1,UNSCHEDULED 3.1
VISITNUM,,,pilot define.xml,8,3.5,AMBUL ECG PLACEMENT
VISITNUM,,,pilot define.xml,9,4,WEEK 2
VISITNUM,,,pilot define.xml,10,4.1,UNSCHEDULED 4.1
VISITNUM,,,pilot define.xml,11,4.2,UNSCHEDULED 4.2
VISITNUM,,,pilot define.xml,12,5,WEEK 4
VISITNUM,,,pilot define.xml,13,5.1,UNSCHEDULED 5.1
VISITNUM,,,pilot define.xml,14,6,AMBUL ECG REMOVAL
VISITNUM,,,pilot define.xml,15,6.1,UNSCHEDULED 6.1
VISITNUM,,,pilot define.xml,16,7,WEEK 6
VISITNUM,,,pilot define.xml,17,7.1,UNSCHEDULED 7.1
VISITNUM,,,pilot define.xml,18,8,WEEK 8
VISITNUM,,,pilot define.xml,19,8.1,WEEK 10 (T)
VISITNUM,,,pilot define.xml,20,8.2,UNSCHEDULED 8.2
VISITNUM,,,pilot define.xml,21,9,WEEK 12
VISITNUM,,,pilot define.xml,22,9.1,WEEK 14 (T)
VISITNUM,,,pilot define.xml,23,9.2,UNSCHEDULED 9.2
